Date,Close,Open,Volume,Num Arrests,Mean.TemperatureF,PrecipitationIn,Events,season,Year,Week,Month
2014-05-20,1872.8299559999998,1884.880005,3007700000,1296,67.0,0.00,,Spring,2014,21,5
2014-05-21,1888.030029,1873.339966,2777140000,1465,68.0,0.00,,Spring,2014,21,5
2014-05-22,1892.4899899999998,1888.189941,2759800000,1366,60.0,0.32,Rain-Thunderstorm,Spring,2014,21,5
2014-05-23,1900.530029,1893.319946,2396280000,1225,63.0,0.32,Rain-Thunderstorm,Spring,2014,21,5
2014-05-27,1911.910034,1902.0100100000002,2911020000,1118,74.0,T,,Spring,2014,22,5
2014-05-28,1909.780029,1911.77002,2976450000,1280,60.0,T,,Spring,2014,22,5
2014-05-29,1920.030029,1910.5999760000002,2709050000,1296,57.0,0.00,,Spring,2014,22,5
2014-05-30,1923.569946,1920.3299559999998,3263490000,1281,62.0,0.03,Rain,Spring,2014,22,5
2014-06-02,1924.969971,1923.869995,2509020000,850,66.0,0.00,,Spring,2014,23,6
2014-06-03,1924.2399899999998,1923.069946,2867180000,1241,71.0,T,Rain,Spring,2014,23,6
2014-06-04,1927.880005,1923.060059,2793920000,1528,73.0,T,,Spring,2014,23,6
2014-06-05,1940.459961,1928.52002,3113270000,1336,70.0,0.50,Rain,Spring,2014,23,6
2014-06-06,1949.439941,1942.410034,2864300000,1337,71.0,0.00,,Spring,2014,23,6
2014-06-09,1951.27002,1948.969971,2812180000,788,66.0,0.95,Rain-Thunderstorm,Spring,2014,24,6
2014-06-10,1950.790039,1950.339966,2702360000,1308,73.0,0.00,,Spring,2014,24,6
2014-06-11,1943.890015,1949.369995,2710620000,1512,66.0,T,Rain,Spring,2014,24,6
2014-06-12,1930.109985,1943.3499760000002,3040480000,1395,69.0,0.01,Rain,Spring,2014,24,6
2014-06-13,1936.160034,1930.800049,2598230000,1282,74.0,0.99,Fog-Rain-Thunderstorm,Spring,2014,24,6
2014-06-16,1937.780029,1934.839966,2926130000,880,71.0,0.00,,Spring,2014,25,6
2014-06-17,1941.9899899999998,1937.1500239999998,2971260000,1133,75.0,T,,Spring,2014,25,6
2014-06-18,1956.97998,1942.72998,3065220000,1431,83.0,0.00,,Spring,2014,25,6
2014-06-19,1959.47998,1957.5,2952150000,1380,73.0,0.05,Rain,Spring,2014,25,6
2014-06-20,1962.869995,1960.449951,4336240000,1292,74.0,0.00,,Spring,2014,25,6
2014-06-23,1962.609985,1962.9200440000002,2717630000,851,72.0,0.00,,Summer,2014,26,6
2014-06-24,1949.97998,1961.969971,3089700000,1189,72.0,0.00,,Summer,2014,26,6
2014-06-25,1959.530029,1949.27002,3106710000,1346,76.0,0.09,,Summer,2014,26,6
2014-06-26,1957.219971,1959.890015,2778840000,1175,80.0,0.02,Rain,Summer,2014,26,6
2014-06-27,1960.959961,1956.560059,4290590000,1207,72.0,0.00,,Summer,2014,26,6
2014-06-30,1960.22998,1960.790039,3037350000,716,74.0,0.00,,Summer,2014,27,6
2014-07-01,1973.319946,1962.290039,3188240000,1230,78.0,0.00,,Summer,2014,27,7
2014-07-02,1974.619995,1973.060059,2851480000,1389,78.0,0.52,Rain-Thunderstorm,Summer,2014,27,7
2014-07-03,1985.439941,1975.880005,1998090000,1252,78.0,0.35,Rain-Thunderstorm,Summer,2014,27,7
2014-07-07,1977.6500239999998,1984.219971,2681260000,834,77.0,0.00,,Summer,2014,28,7
2014-07-08,1963.709961,1976.390015,3302430000,1184,80.0,T,,Summer,2014,28,7
