Year,Week,Close,Num Arrests,Mean.TemperatureF,Month
2011,52,1258.92251625,1029.25,40.25,12.0
2012,1,1307.8840334000001,1162.0,31.4,3.2
2012,2,1289.9699706,1352.0,39.6,1.0
2012,3,1307.897522,1509.75,35.75,1.0
2012,4,1318.2940186,1292.8,44.2,1.0
2012,5,1323.9900146,1375.2,44.0,1.6
2012,6,1347.1859864,1306.2,39.0,2.0
2012,7,1352.9540038,1276.0,40.4,2.0
2012,8,1362.2674865,1262.25,44.5,2.0
2012,9,1369.834009,1199.2,40.6,2.4
2012,10,1359.419995,1451.8,43.0,3.0
2012,11,1393.6179932,1338.6,51.4,3.0
2012,12,1401.6100098000002,1348.4,59.8,3.0
2012,13,1409.2640138,1252.0,48.4,3.0
2012,14,1407.3649902500001,1309.75,53.0,4.0
2012,15,1373.4659668,1155.0,53.2,4.0
2012,16,1380.1880126,1332.6,61.2,4.0
2012,17,1386.5879636,1176.0,51.0,4.0
2012,18,1393.3419921999998,1238.6,55.8,4.8
2012,19,1359.8519775999998,1382.2,59.2,5.0
2012,20,1318.7780030000001,1253.4,63.6,5.0
2012,21,1317.995996,1229.8,65.6,5.0
2012,22,1308.52749625,1296.25,72.75,5.25
2012,23,1303.8920166,1242.0,63.6,6.0
2012,24,1323.9860109999997,1121.6,68.6,6.0
2012,25,1343.795996,1208.0,76.6,6.0
2012,26,1331.352002,1055.0,74.0,6.0
2012,27,1365.44751,1160.0,81.25,7.0
2012,28,1345.3839844,1255.4,77.2,7.0
2012,29,1365.8520263999999,1144.8,78.8,7.0
2012,30,1354.5420170000002,1196.0,80.2,7.0
2012,31,1379.1859862000001,1236.8,77.0,7.6
2012,32,1401.2939941999998,1229.0,78.4,8.0
2012,33,1409.4480224,1182.4,77.4,8.0
2012,34,1411.6,1219.4,74.8,8.0
2012,35,1407.2579832,1052.4,76.4,8.0
2012,36,1419.6049802500002,1199.5,76.5,9.0
2012,37,1444.9920168,1235.0,68.0,9.0
2012,38,1460.393994,1213.2,66.4,9.0
2012,39,1443.923999,1095.6,67.2,9.0
2012,40,1452.7120116,1279.8,68.0,10.0
2012,41,1438.2699951999998,1253.6,54.8,10.0
2012,42,1449.297998,1258.4,58.4,10.0
2012,43,1416.1179686000003,1185.6,59.6,10.0
2012,44,1417.9833170000002,466.6666666666667,49.0,10.666666666666666
2012,45,1399.508008,592.6,40.0,11.0
2012,46,1364.6520018,969.4,46.0,11.0
2012,47,1393.72003175,890.75,44.5,11.0
2012,48,1409.4580078000004,1046.4,39.8,11.0
2012,49,1411.5599852,1133.4,44.8,12.0
2012,50,1421.5799803999998,1097.8,44.0,12.0
2012,51,1437.3600096000002,971.8,45.6,12.0
2012,52,1416.755005,781.75,36.75,12.0
2013,1,1615.5379882,965.0,31.4,5.4
2013,2,1464.8460206,1289.2,40.8,1.0
2013,3,1476.5139892,1174.4,38.8,1.0
2013,4,1496.2875062500002,1121.25,19.25,1.0
2013,5,1504.252002,1135.2,38.0,1.2
2013,6,1509.2880128000002,1114.2,30.6,2.0
2013,7,1519.5880128000001,1295.2,39.6,2.0
2013,8,1515.2274779999998,1304.0,33.5,2.0
2013,9,1506.7319824,1289.8,41.8,2.2
2013,10,1540.3780030000003,1156.0,37.6,3.0
2013,11,1557.4299804000002,1238.8,43.0,3.0
2013,12,1552.3679933999997,1182.6,36.6,3.0
2013,13,1561.8749695000001,1120.5,43.0,3.0
2013,14,1559.8739988000002,1198.8,44.2,4.0
2013,15,1580.3259764000002,1274.6,56.2,4.0
2013,16,1555.1599852000002,1248.8,53.6,4.0
2013,17,1577.4940184,1281.6,50.2,4.0
2013,18,1597.1779784000003,1198.6,54.0,4.6
2013,19,1627.3039794000001,1313.4,60.4,5.0
2013,20,1652.1659914,1294.0,57.6,5.0
2013,21,1658.1820069999999,1184.8,64.6,5.0
2013,22,1648.392517,1196.0,69.25,5.0
2013,23,1629.3280273999999,1152.2,65.6,6.0
2013,24,1628.9100098000001,1152.8,66.6,6.0
2013,25,1620.0800294,1215.0,70.2,6.0
2013,26,1596.7719969999998,1070.4,78.8,6.0
2013,27,1619.0849915000001,1123.5,76.5,7.0
2013,28,1660.1219726,1194.4,79.2,7.0
2013,29,1684.2260010000002,1146.0,87.6,7.0
2013,30,1691.1520017999999,1195.0,76.0,7.0
2013,31,1694.7119871999998,1160.6,75.8,7.4
2013,32,1696.8640136000001,1189.8,74.6,8.0
2013,33,1677.2339843999998,1239.8,71.4,8.0
2013,34,1652.3340090000002,1149.8,76.2,8.0
2013,35,1638.6719970000001,1082.0,77.0,8.0
2013,36,1650.7749939999999,1227.5,72.0,9.0
2013,37,1683.247998,1084.4,73.0,9.0
2013,38,1712.0260012000003,1224.2,63.0,9.0
2013,39,1696.4900148000002,1118.0,61.2,9.0
2013,40,1687.9160156000003,1212.4,69.0,9.8
2013,41,1676.745996,1223.4,63.4,10.0
2013,42,1721.4780273999997,1088.2,61.8,10.0
2013,43,1751.5100097999998,1156.2,53.0,10.0
2013,44,1763.1100098000002,1079.2,55.6,10.2
2013,45,1763.8300047999996,1145.4,48.2,11.0
2013,46,1782.076001,1174.6,43.0,11.0
2013,47,1792.2760010000002,1213.8,47.6,11.0
2013,48,1804.56750475,909.75,39.75,11.0
2013,49,1795.7960203999999,1132.0,46.6,12.0
2013,50,1788.8059814,1079.0,31.6,12.0
2013,51,1801.221997,1021.6,34.6,12.0
2013,52,1836.1824949999998,832.25,38.75,12.0
2014,1,1978.6340086,523.2,28.8,7.6
2014,2,1836.5280030000001,1156.0,25.2,1.0
2014,3,1838.2099854,1303.0,40.0,1.0
2014,4,1826.8525085,996.25,16.75,1.0
2014,5,1785.0079834,1088.8,25.4,1.0
2014,6,1763.836011,1139.6,31.0,2.0
2014,7,1821.4619874,1034.2,26.8,2.0
2014,8,1836.3850097499999,1333.25,37.25,2.0
2014,9,1850.3260008000002,1164.6,27.8,2.0
2014,10,1869.7040281999998,1305.6,27.4,3.0
2014,11,1860.0939941999998,1269.2,39.8,3.0
2014,12,1866.0760011999998,1284.0,38.8,3.0
2014,13,1856.4560058000002,1224.6,33.4,3.0
2014,14,1880.5239992,1295.4,45.8,3.8
2014,15,1843.5899902,1304.4,51.8,4.0
2014,16,1850.1875000000002,1125.25,46.5,4.0
2014,17,1873.7680176,1239.8,52.2,4.0
2014,18,1879.3060060000003,1110.2,55.2,4.4
2014,19,1876.9399901999998,1324.0,58.4,5.0
2014,20,1886.2679930000002,1273.4,62.6,5.0
2014,21,1887.791992,1251.8,64.0,5.0
2014,22,1916.3225094999998,1243.75,63.25,5.0
2014,23,1933.3979736000001,1258.4,70.2,6.0
2014,24,1942.4440186,1257.0,69.6,6.0
2014,25,1951.8199948000001,1223.2,75.2,6.0
2014,26,1958.0599852000003,1153.6,74.4,6.0
2014,27,1973.4024655000003,1146.75,77.0,6.75
2014,28,1969.2879881999997,1223.8,77.8,7.0
2014,29,1973.6579834,1198.2,76.0,7.0
2014,30,1982.097998,1167.6,76.0,7.0
2014,31,1954.9499998000003,1163.6,74.4,7.2
2014,32,1924.1199706,1176.8,76.8,8.0
